 coating x n_core k_core n_shell k_shell lambda
10500603 0.060 0.654 1.406 0.015 1.359 0.015 4800.000
10501494 0.060 0.628 2.281 0.326 1.529 0.351 75000.000
1050385 0.000 2.310 1.341 0.080 1.408 0.080 6800.000
10510873 0.060 68.544 1.465 0.020 1.362 0.004 550.000
10511164 0.060 0.838 2.202 0.251 1.529 0.351 60000.000
10517032 0.060 12.032 1.442 0.032 1.362 0.014 4700.000
10523978 0.060 3.847 1.421 0.022 1.357 0.015 4900.000
1054024 0.000 2.094 1.468 0.044 1.421 0.146 3000.000
10540817 0.060 5.585 1.451 0.013 1.365 0.004 450.000
10540950 0.060 3.491 1.445 0.013 1.358 0.004 900.000
10543083 0.060 1.795 1.362 0.030 1.350 0.036 7000.000
10551396 0.060 3.054 1.463 0.147 1.362 0.186 14400.000
10553697 0.060 0.898 2.374 0.242 1.549 0.385 70000.000
10557740 0.060 2.094 1.462 0.033 1.370 0.002 300.000
10562208 0.060 18.850 1.461 0.021 1.355 0.002 500.000
10564341 0.060 3.770 1.404 0.014 1.344 0.021 5000.000
10565754 0.060 0.733 1.461 0.086 1.379 0.251 3000.000
10575876 0.060 3.557 1.398 0.028 1.329 0.047 5300.000
10585016 0.060 11.424 1.487 0.049 1.401 0.002 220.000
10586025 0.060 49.604 1.478 0.021 1.348 0.002 950.000
10594128 0.060 0.785 1.453 0.021 1.414 0.002 200.000
10595972 0.060 6.981 1.357 0.184 1.305 0.069 9000.000
10599197 0.060 3.142 1.544 0.239 1.282 0.064 10000.000
10600977 0.060 5.778 1.401 0.006 1.360 0.016 4350.000
1060379 0.000 0.691 1.986 0.263 1.697 0.364 50000.000
10603997 0.060 2.285 1.450 0.011 1.353 0.002 550.000
10606310 0.060 0.714 1.497 0.059 1.359 0.017 4400.000
10607455 0.060 0.597 1.521 0.071 1.549 0.382 100000.000
10613262 0.060 11.855 1.374 0.020 1.332 0.064 5300.000
10613347 0.060 1.047 1.486 0.097 1.452 0.000 150.000
10617775 0.060 0.690 1.424 0.020 1.365 0.034 4100.000
10620641 0.060 8.727 1.394 0.030 1.329 0.072 5400.000
10620668 0.060 209.440 1.480 0.066 1.398 0.000 240.000
10623551 0.060 0.565 1.392 0.009 1.342 0.037 5000.000
10626800 0.060 1.571 1.486 0.077 1.482 0.000 100.000
10629359 0.060 4.189 1.430 0.013 1.354 0.000 750.000
10632893 0.060 2.094 1.450 0.017 1.354 0.000 750.000
10635356 0.060 157.080 1.485 0.053 1.482 0.000 100.000
10636320 0.060 13.368 1.399 0.010 1.350 0.036 4700.000
10637658 0.060 115.192 1.479 0.028 1.378 0.000 300.000
10637973 0.060 91.392 1.473 0.020 1.357 0.000 550.000
10642945 0.060 2.417 1.472 0.044 1.366 0.054 3900.000
10644876 0.060 2.005 1.429 0.025 1.350 0.036 4700.000
10645750 0.060 10.077 1.410 0.033 1.332 0.064 5300.000
10646350 0.060 1.745 1.411 0.007 1.352 0.000 900.000
10653634 0.060 4.363 1.525 0.304 1.468 0.200 14400.000
10656596 0.060 3.847 1.434 0.029 1.345 0.037 4900.000
10660544 0.060 35.904 1.490 0.020 1.355 0.000 700.000
10662601 0.060 7.662 1.448 0.030 1.365 0.034 4100.000
10663045 0.060 10.681 1.438 0.031 1.342 0.037 5000.000
10664278 0.060 4.384 1.497 0.059 1.360 0.035 4300.000
10666275 0.060 3.234 1.359 0.031 1.313 0.070 6800.000
106708 0.000 78.540 1.434 0.008 1.383 0.000 240.000
10672415 0.060 5.834 1.335 0.096 1.380 0.037 7000.000
10674634 0.060 12.852 1.420 0.020 1.396 0.016 4400.000
10676243 0.060 9.610 1.419 0.018 1.400 0.015 4250.000
10679286 0.060 0.602 1.414 0.018 1.390 0.018 4700.000
10685535 0.060 26.456 1.450 0.019 1.386 0.007 950.000
10686082 0.060 133.518 1.455 0.020 1.395 0.007 400.000
1068823 0.000 2.732 1.452 0.034 1.492 0.011 230.000
10688963 0.060 0.604 1.428 0.033 1.374 0.035 5200.000
10689285 0.060 1.224 1.634 0.574 1.412 0.198 15400.000
10690871 0.060 0.806 1.443 0.032 1.406 0.035 3900.000
10697136 0.060 6.732 1.437 0.027 1.401 0.015 4200.000
10697508 0.060 11.220 1.437 0.027 1.401 0.015 4200.000
10701111 0.060 7.199 1.459 0.040 1.388 0.019 4800.000
1070365 0.000 0.668 1.907 0.550 1.700 0.385 80000.000
10710799 0.060 2.448 1.534 0.321 1.412 0.198 15400.000
10711827 0.060 0.564 1.484 0.050 1.406 0.035 3900.000
10712136 0.060 3.142 1.488 0.028 1.421 0.225 3000.000
1072199 0.000 10.927 1.462 0.042 1.446 0.061 4600.000
10722631 0.060 9.890 1.498 0.059 1.365 0.050 5400.000
10723943 0.060 1.428 1.488 0.173 1.412 0.198 15400.000
10726930 0.060 9.425 1.486 0.096 1.489 0.004 100.000
10727339 0.060 0.565 1.394 0.009 1.363 0.029 5000.000
10735808 0.060 81.681 1.461 0.021 1.375 0.004 500.000
10736478 0.060 6.283 1.486 0.087 1.489 0.004 100.000
1074207 0.000 0.763 1.888 0.312 1.698 0.387 70000.000
10760127 0.060 1.532 1.442 0.028 1.384 0.024 4100.000
10763762 0.060 11.424 1.488 0.042 1.420 0.004 220.000
10777603 0.060 18.480 1.445 0.011 1.370 0.004 850.000
10777937 0.060 4.620 1.418 0.050 1.342 0.059 6800.000
10778908 0.060 1.257 1.494 0.020 1.368 0.004 1000.000
10779798 0.060 4.098 1.499 0.060 1.344 0.053 6900.000
10783425 0.060 34.272 1.452 0.020 1.369 0.000 550.000
10787912 0.060 10.258 1.408 0.016 1.353 0.050 4900.000
10789161 0.060 2.244 1.328 0.095 1.310 0.067 7000.000
10792736 0.060 1.047 1.464 0.047 1.346 0.217 3000.000
10794654 0.060 3.491 1.451 0.021 1.364 0.000 900.000
10799385 0.060 9.062 1.416 0.029 1.347 0.067 5200.000
10801520 0.060 271.319 1.476 0.067 1.424 0.000 220.000
10801594 0.060 89.760 1.450 0.019 1.367 0.000 700.000
10801610 0.060 14.280 1.426 0.023 1.366 0.049 4400.000
10805418 0.060 0.796 2.023 0.221 1.669 0.486 75000.000
10807366 0.060 62.832 1.449 0.018 1.362 0.000 1000.000
10810402 0.060 24.435 1.474 0.022 1.364 0.000 900.000
10811178 0.060 2.985 1.491 0.453 1.604 0.292 20000.000
10814351 0.060 188.496 1.473 0.042 1.463 0.000 150.000
10815659 0.060 10.053 1.485 0.040 1.407 0.000 250.000
10829302 0.060 15.708 1.452 0.013 1.377 0.000 400.000
10836102 0.060 2.827 1.545 0.243 1.604 0.292 20000.000
10839983 0.060 14.559 1.404 0.004 1.374 0.049 4100.000
10841245 0.060 2.513 2.007 1.002 1.339 0.051 10000.000
10842381 0.060 6.283 1.470 0.064 1.439 0.011 250.000
10843643 0.060 11.827 1.421 0.020 1.427 0.020 4250.000
10853310 0.060 17.802 1.462 0.061 1.446 0.202 3000.000
10855078 0.060 0.733 2.232 0.426 1.549 0.284 60000.000
1085792 0.000 6.283 1.387 0.195 1.521 0.212 9000.000
10864545 0.060 7.540 1.414 0.019 1.413 0.024 5000.000
10878370 0.060 11.541 1.392 0.009 1.415 0.023 4900.000
1087852 0.000 0.628 1.486 0.028 1.538 0.011 100.000
108801 0.000 0.838 1.595 0.144 1.583 0.298 30000.000
10880711 0.060 0.992 1.446 0.014 1.415 0.011 950.000
10884612 0.060 1.795 1.486 0.020 1.418 0.011 700.000
10885194 0.060 2.371 1.473 0.051 1.401 0.044 5300.000
10895091 0.060 37.699 1.494 0.020 1.417 0.011 750.000
10901198 0.060 4.887 1.110 0.708 1.391 0.126 9000.000
10903166 0.060 10.710 1.425 0.023 1.395 0.035 4400.000
10908325 0.060 2.244 1.353 0.092 1.360 0.053 7000.000
10910812 0.060 2.199 1.491 0.709 1.563 0.291 20000.000
10915543 0.060 6.283 1.458 0.024 1.406 0.006 350.000
10925505 0.060 0.612 1.612 0.489 1.493 0.198 15400.000
10926357 0.060 11.126 1.450 0.036 1.387 0.036 4800.000
10926462 0.060 85.272 1.473 0.021 1.392 0.006 700.000
1092655 0.000 3.696 1.497 0.059 1.453 0.062 4250.000
10929611 0.060 119.680 1.458 0.040 1.444 0.006 210.000
10938974 0.060 57.120 1.469 0.035 1.439 0.006 220.000
10939509 0.060 5.544 1.396 0.058 1.358 0.065 6800.000
1094142 0.000 0.524 1.402 0.004 1.453 0.062 4200.000
10944578 0.060 0.748 1.445 0.030 1.400 0.034 4200.000
10944823 0.060 4.028 1.451 0.035 1.403 0.051 3900.000
10948224 0.060 3.142 1.490 0.020 1.392 0.006 700.000
10950008 0.060 7.854 1.469 0.020 1.449 0.006 200.000
10950878 0.060 142.800 1.466 0.018 1.439 0.006 220.000
1095328 0.000 10.899 1.389 0.008 1.441 0.061 4900.000
10954910 0.060 170.170 1.429 0.000 1.428 0.006 240.000
10959376 0.060 1.047 1.466 0.034 1.408 0.000 300.000
10962453 0.060 3.927 1.102 0.083 1.244 0.238 8000.000
10964033 0.060 24.166 1.441 0.016 1.380 0.000 650.000
1096582 0.000 1.309 1.773 0.932 1.804 0.198 14400.000
10967254 0.060 2.513 1.452 0.019 1.383 0.000 500.000
10969428 0.060 3.590 1.436 0.016 1.379 0.000 700.000
10969826 0.060 2.618 1.328 0.049 1.353 0.142 6000.000
10970017 0.060 3.142 1.149 0.069 1.244 0.238 8000.000
10976350 0.060 0.890 2.143 0.457 1.715 0.523 60000.000
10979642 0.060 282.743 1.486 0.068 1.500 0.000 100.000
10980968 0.060 0.838 1.465 0.107 1.338 0.198 3000.000
10986105 0.060 96.664 1.449 0.015 1.380 0.000 650.000
10987509 0.060 0.691 1.889 0.547 1.715 0.491 50000.000
10992542 0.060 12.852 1.450 0.028 1.438 0.000 220.000
10993419 0.060 79.968 1.419 0.006 1.381 0.000 550.000
10996731 0.060 3.021 1.420 0.032 1.358 0.078 5200.000
10998621 0.060 62.832 1.435 0.014 1.422 0.000 250.000
110010 0.000 1.885 1.443 0.011 1.339 0.000 1000.000
11002293 0.060 6.614 1.445 0.013 1.375 0.000 950.000
1100340 0.000 3.927 1.439 0.029 1.410 0.107 4000.000
11006522 0.060 5.347 1.488 0.054 1.367 0.063 4700.000
11007882 0.060 0.584 1.446 0.031 1.377 0.063 4300.000
11008834 0.060 2.199 1.545 0.243 1.646 0.258 20000.000
11008882 0.060 9.240 1.434 0.034 1.359 0.070 5100.000
11011093 0.060 83.776 1.494 0.020 1.378 0.000 750.000
11012332 0.060 40.392 1.399 0.000 1.379 0.000 700.000
11021504 0.060 12.566 1.443 0.017 1.449 0.015 500.000
11021930 0.060 128.520 1.473 0.074 1.477 0.015 220.000
11025943 0.060 3.456 1.891 0.811 1.379 0.050 10000.000
11027790 0.060 6.411 1.395 0.010 1.445 0.027 4900.000
11030874 0.060 2.443 1.450 0.019 1.445 0.015 900.000
11035224 0.060 4.384 1.451 0.036 1.454 0.024 4300.000
11040410 0.060 6.283 1.479 0.028 1.457 0.015 300.000
11040790 0.060 13.464 1.473 0.021 1.447 0.015 700.000
110422 0.000 125.664 1.485 0.019 1.473 0.000 100.000
11045367 0.060 204.886 1.452 0.034 1.473 0.015 230.000
11046357 0.060 13.464 1.488 0.052 1.482 0.015 210.000
11054691 0.060 7.392 1.441 0.029 1.455 0.024 4250.000
1105780 0.000 7.069 1.464 0.024 1.427 0.000 400.000
11063096 0.060 0.785 1.490 0.028 1.486 0.015 200.000
11065151 0.060 1.396 1.451 0.011 1.450 0.015 450.000
1106584 0.000 136.136 1.469 0.033 1.452 0.000 300.000
11069515 0.060 0.654 1.391 0.007 1.446 0.027 4800.000
11072509 0.060 1.885 2.382 0.857 1.628 0.212 30000.000
11074360 0.060 7.740 1.322 0.088 1.374 0.064 6900.000
11076216 0.060 9.484 1.387 0.023 1.395 0.065 5300.000
11081174 0.060 1.848 1.410 0.022 1.399 0.052 5100.000
11082223 0.060 13.659 1.427 0.024 1.409 0.044 4600.000
11083453 0.060 14.137 1.451 0.023 1.389 0.008 2000.000
11084952 0.060 1.337 1.402 0.012 1.407 0.044 4700.000
11088991 0.060 2.310 1.352 0.076 1.375 0.070 6800.000
11093720 0.060 0.663 2.085 0.299 1.639 0.378 90000.000
11096651 0.060 24.166 1.425 0.010 1.413 0.007 650.000
1110127 0.000 33.510 1.436 0.016 1.415 0.000 750.000
11103012 0.060 2.199 1.550 0.511 1.591 0.257 20000.000
11105009 0.060 239.359 1.488 0.052 1.462 0.007 210.000
11108561 0.060 36.376 1.410 0.007 1.410 0.007 950.000
11109477 0.060 5.027 1.487 0.035 1.444 0.007 250.000
11112578 0.060 146.608 1.458 0.018 1.433 0.007 300.000
11116524 0.060 5.236 1.416 0.205 1.435 0.155 9000.000
11119339 0.060 5.585 1.411 0.002 1.418 0.007 450.000
11125755 0.060 5.236 1.498 0.059 1.393 0.072 5400.000
11127114 0.060 0.577 1.389 0.008 1.403 0.045 4900.000
111275 0.000 6.676 1.385 0.048 1.279 0.085 8000.000
11133469 0.060 136.591 1.480 0.079 1.447 0.000 230.000
11133864 0.060 11.968 1.432 0.026 1.388 0.077 4200.000
11133869 0.060 10.927 1.418 0.020 1.378 0.076 4600.000
1114051 0.000 5.890 1.415 0.019 1.390 0.101 4800.000
11141543 0.060 59.136 1.451 0.020 1.389 0.000 850.000
11148429 0.060 4.712 1.421 0.016 1.356 0.001 2000.000
11156856 0.060 58.905 1.474 0.021 1.390 0.000 800.000
11158279 0.060 33.833 1.449 0.015 1.392 0.000 650.000
1116029 0.000 7.392 1.414 0.015 1.404 0.105 4250.000
11162390 0.060 7.353 1.461 0.041 1.376 0.076 4700.000
11163538 0.060 11.424 1.471 0.043 1.451 0.000 220.000
11165524 0.060 11.781 1.443 0.023 1.442 0.000 240.000
11167579 0.060 9.666 1.481 0.020 1.392 0.000 650.000
11174102 0.060 10.472 1.483 0.051 1.388 0.077 4200.000
11175643 0.060 29.568 1.446 0.013 1.389 0.000 850.000
